2025-09-12 16:02:32.361 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 16:02:32.376 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 16:02:32.386 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 16:02:32.401 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 16:02:32.403 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 16:02:32.417 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 16:02:51.925 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 16:02:51.941 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 16:02:51.951 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 16:02:51.966 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 16:02:51.968 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 16:02:51.983 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:46:34.392 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:46:34.408 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:46:34.418 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:46:34.433 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:46:34.435 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:46:34.452 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:47:00.861 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:47:00.891 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:47:00.904 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:47:00.932 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:47:00.934 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:47:00.962 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:48:27.255 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:48:27.272 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:48:27.282 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:48:27.297 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:48:27.299 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:48:27.316 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:50:50.911 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:50:50.928 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:50:50.938 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:50:50.954 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:50:50.955 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:50:50.971 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:51:42.842 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:51:42.859 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:51:42.868 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:51:42.884 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:51:42.886 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:51:42.902 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:52:01.666 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:52:01.683 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:52:01.692 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:52:01.708 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 17:52:01.709 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 17:52:01.725 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 18:17:10.009 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 18:17:10.026 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 18:17:10.036 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 18:17:10.052 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 18:17:10.053 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 18:17:10.069 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 18:17:29.262 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 18:17:29.279 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 18:17:29.288 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 18:17:29.305 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 18:17:29.306 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 18:17:29.322 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-13 08:01:18.339 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-13 08:01:18.357 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-13 08:01:18.367 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-13 08:01:18.385 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-13 08:01:18.387 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-13 08:01:18.406 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
